WARENKORB;;;;;;;;;;
Dies ist keine Rechnung;;;;;;;;;;
02.12.2025 01:43;;;;;;;;;;
;Mouser-Nr.;Herst.- Nr.;Hersteller;Kunden-Teilenr;Beschreibung ;RoHS;Lebenszyklus;Stückzahl;Preis (EUR);Gesamtpreis: (EUR)
1;611-PCM12SMTR;PCM12SMTR;C&K Switches;;Schiebeschalter 0.3A SPDT ON-ON;RoHS-konform;;5;€ 0,96;€ 4,82
;;;;;;;;;;
;;;;;;;;;;
"Durch das Absenden Ihrer Bestellung
 erklären Sie sich mit diesen Geschäftsbedingungen einverstanden.";;;;;;;;;Ware:;€ 4,82
Die Preise sind zum angezeigten Datum und zur Uhrzeit reflektiert.;;;;;;;;;Versandkosten:;€ 20,00
